,Player,Team,Season
0,Giannis Antetokounmpo,MIL,2019
1,James Harden,HOU,2018
2,Russell Westbrook,OKC,2017
3,Stephen Curry,GSW,2016
4,Stephen Curry,GSW,2015
5,Kevin Durant,OKC,2014
6,LeBron James,MIA,2013
7,LeBron James,MIA,2012
8,Derrick Rose,CHI,2011
9,LeBron James,CLE,2010
10,LeBron James,CLE,2009
11,Kobe Bryant,LAL,2008
12,Dirk Nowitzki,DAL,2007
13,Steve Nash,PHO,2006
14,Steve Nash,PHO,2005
15,Kevin Garnett,MIN,2004
16,Tim Duncan,SAS,2003
17,Tim Duncan,SAS,2002
18,Allen Iverson,PHI,2001
19,Shaquille O'Neal,LAL,2000
20,Karl Malone,UTA,1999
21,Michael Jordan,CHI,1998
22,Karl Malone,UTA,1997
23,Michael Jordan,CHI,1996
24,David Robinson,SAS,1995
25,Hakeem Olajuwon,HOU,1994
26,Charles Barkley,PHO,1993
27,Michael Jordan,CHI,1992
28,Michael Jordan,CHI,1991
29,Magic Johnson,LAL,1990
30,Magic Johnson,LAL,1989
31,Michael Jordan,CHI,1988
32,Magic Johnson,LAL,1987
33,Larry Bird,BOS,1986
34,Larry Bird,BOS,1985
35,Larry Bird,BOS,1984
36,Moses Malone,PHI,1983
37,Moses Malone,HOU,1982
38,Julius Erving,PHI,1981
39,Kareem Abdul-Jabbar,LAL,1980
40,Moses Malone,HOU,1979
41,Bill Walton,POR,1978
42,Kareem Abdul-Jabbar,LAL,1977
43,Kareem Abdul-Jabbar,LAL,1976
44,Bob McAdoo,BUF,1975
45,Kareem Abdul-Jabbar,MIL,1974
46,Dave Cowens,BOS,1973
47,Kareem Abdul-Jabbar,MIL,1972
48,Kareem Abdul-Jabbar,MIL,1971
49,Willis Reed,NYK,1970
50,Wes Unseld,BAL,1969
51,Wilt Chamberlain,PHI,1968
52,Wilt Chamberlain,PHI,1967
53,Wilt Chamberlain,PHI,1966
54,Bill Russell,BOS,1965
55,Oscar Robertson,CIN,1964
56,Bill Russell,BOS,1963
57,Bill Russell,BOS,1962
58,Bill Russell,BOS,1961
59,Wilt Chamberlain,PHW,1960
60,Bob Pettit,STL,1959
61,Bill Russell,BOS,1958
62,Bob Cousy,BOS,1957
63,Bob Pettit,STL,1956
